id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35
11,Bassline Mirage,Subcurrent,synthwave,intense,0.95,174,0.72,0.89,0.04
12,Front Porch Waltz,Cedar Lane,jazz,relaxed,0.33,84,0.58,0.44,0.93
13,Cathedral Echoes,Aurora Veil,ambient,chill,0.21,66,0.47,0.18,0.97
14,Golden Hour Drift,Sahara Bloom,indie pop,happy,0.57,92,0.83,0.74,0.55
15,Neon Alley Cipher,Rhythm Thesis,pop,focused,0.79,98,0.61,0.86,0.12
16,Silver Lining Steps,Marisol,pop,happy,0.88,126,0.90,0.91,0.08
17,Blue Velvet Signal,Noir Current,jazz,moody,0.36,74,0.34,0.52,0.81
18,Sandstorm Protocol,Crimson Grid,rock,intense,0.97,168,0.22,0.58,0.03
19,Atlas of Dust,Still Meridian,lofi,relaxed,0.41,88,0.39,0.49,0.87
20,Sun Dial Street,Brass Cartel,pop,happy,0.81,114,0.76,0.93,0.19
21,Temple of Silence,Lotus Array,ambient,chill,0.18,58,0.63,0.27,0.98
22,Lunar Marketplace,Velvet Bazaar,synthwave,focused,0.52,102,0.68,0.64,0.67
